type,query,func_name,plantime,estcost,exectime,cost ratio,time ratio,
" derived from q92, udf in predicate and projection, improv using cache","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt), sudf_nmonthsbefore(d_Date_string, 8) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nmonthsbefore(d_Date_string, 8) between '1995-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_nmonthsbefore(d_Date_string, 8) between '1901-03-04' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) GROUP BY sudf_nmonthsbefore(d_Date_string, 8) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore,1.817,39203.54,2220.843333,1,1,0
" derived from q92, udf in predicate and projection, improv using cache","EXPLAIN ANALYZE  SELECT Sum(ws_ext_discount_amt), sudf_nMonthsBefore_cache(d_Date_string, 8) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nMonthsBefore_cache(d_Date_string, 8) between '1995-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_nMonthsBefore_cache(d_Date_string, 8) between '1901-03-04' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) GROUP BY sudf_nMonthsBefore_cache(d_Date_string, 8) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore_cache,2.437,39203.54,1558.892,1,1.424629374,1
" derived from q92, udf in predicate, no improv using cache","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nmonthsbefore(i_rec_start_date_string,5) between '1990-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_nmonthsbefore(i_rec_end_date_string,5) between '1980-03-04' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore,2.302,29923.66,1488.151333,1,1,0
" derived from q92, udf in predicate, no improv using cache","EXPLAIN ANALYZE  SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nMonthsBefore_cache(i_rec_start_date_string,5) between '1990-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND sudf_nMonthsBefore_cache(i_rec_end_date_string,5) between '1980-03-04' and '2002-03-04' AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore_cache,2.378,29923.66,1097.103333,1,1.356436799,1
" derived from q92, udf in predicate, improv using cache","EXPLAIN ANALYZE SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nmonthsbefore(i_rec_start_date_string,1) between '2000-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore,2.113,28801.58,741.069,1,1,0
" derived from q92, udf in predicate, improv using cache","EXPLAIN ANALYZE  SELECT Sum(ws_ext_discount_amt) FROM     web_sales , item , date_dim WHERE    i_manufact_id = 718 AND      i_item_sk = ws_item_sk AND      sudf_nMonthsBefore_cache(i_rec_start_date_string,1) between '2000-03-04' and '2002-03-04' AND      d_date_sk = ws_sold_date_sk AND      ws_ext_discount_amt > ( SELECT 1.3 * avg(ws_ext_discount_amt) FROM   web_sales , date_dim WHERE  ws_item_sk = i_item_sk AND    d_date_sk = ws_sold_date_sk) ORDER BY sum(ws_ext_discount_amt) LIMIT 100",sudf_nMonthsBefore_cache,2.13,28801.58,742.6116667,1,0.997922647,0
" derived from q67, udf in predicate, no improv using cache","EXPLAIN ANALYZE select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_nmonthsbefore(s_rec_start_date_string, 4) between '1900-10-04' and '2008-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_nMonthsBefore,2.722,92189.16,13886.899,1,1,0
" derived from q67, udf in predicate, no improv using cache","EXPLAIN ANALYZE  select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_nMonthsBefore_cache(s_rec_start_date_string, 4) between '1900-10-04' and '2008-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_nMonthsBefore_cache,2.714,92189.16,14009.61733,1,0.991240422,0
" derived from q67, udf in predicate, no improv using cache","EXPLAIN ANALYZE select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_nmonthsbefore(s_rec_start_date_string, 3) between '1900-10-04' and '2008-03-04' and sudf_nmonthsbefore(s_rec_end_date_string, 3) between '2008-03-04' and '2028-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_nMonthsBefore,2.536,92204.31,716.085,1,1,0
" derived from q67, udf in predicate, no improv using cache","EXPLAIN ANALYZE  select * from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rank() over (partition by i_category order by sumsales desc) rk from (select i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sum(coalesce(ss_sales_price*ss_quantity,0)) sumsales from store_sales ,date_dim ,store ,item where  ss_sold_date_sk=d_date_sk and ss_item_sk=i_item_sk and ss_store_sk = s_store_sk and d_month_seq between 1181 and 1181+11 and sudf_nMonthsBefore_cache(s_rec_start_date_string, 3) between '1900-10-04' and '2008-03-04' and sudf_nMonthsBefore_cache(s_rec_end_date_string, 3) between '2008-03-04' and '2028-03-04' group by  rollup(i_category, i_class, i_brand, i_product_name, d_year, d_qoy, d_moy,s_store_id))dw1) dw2 where rk <= 100 order by i_category ,i_class ,i_brand ,i_product_name ,d_year ,d_qoy ,d_moy ,s_store_id ,sumsales ,rk LIMIT 100",sudf_nMonthsBefore_cache,2.805,92204.31,702.4986667,1,1.019340013,1
" derived from sqlprocbench, udf in both predicate and projection, bigdifference using result cache","EXPLAIN ANALYZE select c_customer_sk, sudf_12_increaseInWebSpending(c_customer_sk) from customer where c_customer_sk in (select ws_bill_customer_sk from web_sales_history, date_dim where d_date_sk = ws_sold_date_sk and d_year = 2000  INTERSECT  select ws_bill_customer_sk from web_sales_history, date_dim where d_date_sk = ws_sold_date_sk and d_year = 2001 ) and sudf_12_increaseInWebSpending(c_customer_sk) > 0 limit 10",sudf_12_increaseInWebSpending,1.271,5934.15,8997.368333,1,1,0
" derived from sqlprocbench, udf in both predicate and projection, bigdifference using result cache","EXPLAIN ANALYZE  select c_customer_sk, sudf_12_increaseInWebSpending_cache(c_customer_sk) from customer where c_customer_sk in (select ws_bill_customer_sk from web_sales_history, date_dim where d_date_sk = ws_sold_date_sk and d_year = 2000  INTERSECT  select ws_bill_customer_sk from web_sales_history, date_dim where d_date_sk = ws_sold_date_sk and d_year = 2001 ) and sudf_12_increaseInWebSpending_cache(c_customer_sk) > 0 limit 10",sudf_12_increaseInWebSpending_cache,1.219,5934.15,6579.930667,1,1.367395614,1
" derived from q45, udf in projection, no significant difference using result cache","EXPLAIN ANALYZE select c1, c2, sudf_12_increaseInWebSpending(c_customer_sk) from (SELECT ca_zip, ca_state c1, Sum(ws_sales_price) c2, c_customer_sk FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 )) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state, c_customer_sk ORDER  BY ca_zip, ca_state) t",sudf_12_increaseInWebSpending,2.834,34534.89,4945.317333,1,1,0
" derived from q45, udf in projection, no significant difference using result cache","EXPLAIN ANALYZE  select c1, c2, sudf_12_increaseInWebSpending_cache(c_customer_sk) from (SELECT ca_zip, ca_state c1, Sum(ws_sales_price) c2, c_customer_sk FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 )) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state, c_customer_sk ORDER  BY ca_zip, ca_state) t",sudf_12_increaseInWebSpending_cache,3.058,34534.89,4805.404667,1,1.029115689,1
" derived from q45, udf in projection and predicate, no difference using resultcache","EXPLAIN ANALYZE select c1, c2, sudf_12_increaseInWebSpending(c_customer_sk) from (SELECT ca_zip, ca_state c1, Sum(ws_sales_price) c2, c_customer_sk FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 )) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state, c_customer_sk ORDER  BY ca_zip, ca_state) t where sudf_12_increaseInWebSpending(c_customer_sk) > 0",sudf_12_increaseInWebSpending,3.068,34571.46,5230.490667,1,1,0
" derived from q45, udf in projection and predicate, no difference using resultcache","EXPLAIN ANALYZE  select c1, c2, sudf_12_increaseInWebSpending_cache(c_customer_sk) from (SELECT ca_zip, ca_state c1, Sum(ws_sales_price) c2, c_customer_sk FROM   web_sales, customer, customer_address, date_dim, item WHERE  ws_bill_customer_sk = c_customer_sk AND c_current_addr_sk = ca_address_sk AND ws_item_sk = i_item_sk AND ( Substr(ca_zip, 1, 5) IN ( '85669', '86197', '88274', '83405', '86475', '85392', '85460', '80348', '81792' ) OR i_item_id IN (SELECT i_item_id FROM   item WHERE  i_item_sk IN ( 2, 3, 5, 7, 11, 13, 17, 19, 23, 29 )) ) AND ws_sold_date_sk = d_date_sk AND d_qoy = 1 AND d_year = 2000 GROUP  BY ca_zip, ca_state, c_customer_sk ORDER  BY ca_zip, ca_state) t where sudf_12_increaseInWebSpending_cache(c_customer_sk) > 0",sudf_12_increaseInWebSpending_cache,3.076,34571.46,4989.227,1,1.048356923,1
" derived from sqlprocbench, udf in projection, no difference using cache",EXPLAIN ANALYZE select s_store_sk from store where sudf_15_incomeBandOfMaxBuy(s_store_sk)='lowerMiddle' order by s_store_sk,sudf_15_incomeBandOfMaxBuy,0.657,17.89,20324.16,1,1,0
" derived from sqlprocbench, udf in projection, no difference using cache",EXPLAIN ANALYZE  select s_store_sk from store where sudf_15_incomeBandOfMaxBuy_cache(s_store_sk)='lowerMiddle' order by s_store_sk,sudf_15_incomeBandOfMaxBuy_cache,0.732,17.89,20678.023,1,0.982887,0
" derived from q65, udf in predicate, no difference using cache","EXPLAIN ANALYZE SELECT s_store_name, i_item_desc, sc.revenue, i_current_price, i_wholesale_cost, i_brand FROM   store, item, (SELECT ss_store_sk, Avg(revenue) AS ave FROM   (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sa GROUP  BY ss_store_sk) sb, (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sc WHERE  sb.ss_store_sk = sc.ss_store_sk AND sc.revenue <= 0.1 * sb.ave AND s_store_sk = sc.ss_store_sk AND i_item_sk = sc.ss_item_sk AND sudf_15_incomeBandOfMaxBuy(s_store_sk)='lowerMiddle' ORDER  BY s_store_name, i_item_desc LIMIT 100",sudf_15_incomeBandOfMaxBuy,2.315,188287.98,23832.40367,1,1,0
" derived from q65, udf in predicate, no difference using cache","EXPLAIN ANALYZE  SELECT s_store_name, i_item_desc, sc.revenue, i_current_price, i_wholesale_cost, i_brand FROM   store, item, (SELECT ss_store_sk, Avg(revenue) AS ave FROM   (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sa GROUP  BY ss_store_sk) sb, (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sc WHERE  sb.ss_store_sk = sc.ss_store_sk AND sc.revenue <= 0.1 * sb.ave AND s_store_sk = sc.ss_store_sk AND i_item_sk = sc.ss_item_sk AND sudf_15_incomeBandOfMaxBuy_cache(s_store_sk)='lowerMiddle' ORDER  BY s_store_name, i_item_desc LIMIT 100",sudf_15_incomeBandOfMaxBuy_cache,2.528,188287.98,23613.72767,1,1.009260546,1
" derived from q65, udf in both predicate and projection, big improv using cache","EXPLAIN ANALYZE SELECT s_store_name, i_item_desc, sc.revenue, i_current_price, i_wholesale_cost, i_brand, sudf_15_incomeBandOfMaxBuy(s_store_sk) FROM   store, item, (SELECT ss_store_sk, Avg(revenue) AS ave FROM   (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sa GROUP  BY ss_store_sk) sb, (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sc WHERE  sb.ss_store_sk = sc.ss_store_sk AND sc.revenue <= 0.1 * sb.ave AND s_store_sk = sc.ss_store_sk AND i_item_sk = sc.ss_item_sk AND sudf_15_incomeBandOfMaxBuy(s_store_sk) in ('lowerMiddle', 'low') ORDER  BY s_store_name, i_item_desc LIMIT 100",sudf_15_incomeBandOfMaxBuy,0,0,120000,1,1,0
" derived from q65, udf in both predicate and projection, big improv using cache","EXPLAIN ANALYZE  SELECT s_store_name, i_item_desc, sc.revenue, i_current_price, i_wholesale_cost, i_brand, sudf_15_incomeBandOfMaxBuy_cache(s_store_sk) FROM   store, item, (SELECT ss_store_sk, Avg(revenue) AS ave FROM   (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sa GROUP  BY ss_store_sk) sb, (SELECT ss_store_sk, ss_item_sk, Sum(ss_sales_price) AS revenue FROM   store_sales, date_dim WHERE  ss_sold_date_sk = d_date_sk AND d_month_seq BETWEEN 1199 AND 1199 + 11 GROUP  BY ss_store_sk, ss_item_sk) sc WHERE  sb.ss_store_sk = sc.ss_store_sk AND sc.revenue <= 0.1 * sb.ave AND s_store_sk = sc.ss_store_sk AND i_item_sk = sc.ss_item_sk AND sudf_15_incomeBandOfMaxBuy_cache(s_store_sk) in ('lowerMiddle', 'low') ORDER  BY s_store_name, i_item_desc LIMIT 100",sudf_15_incomeBandOfMaxBuy_cache,2.744,188333.09,23351.12,0,5.138939802,1
" derived from q13, udf in projection, no difference using cache","EXPLAIN ANALYZE SELECT Avg(ss_quantity), Avg(ss_ext_sales_price), Avg(ss_ext_wholesale_cost), Sum(ss_ext_wholesale_cost), sudf_1_totalLargePurchases(ca_state, 1000, d_year, d_qoy) FROM   store_sales, store, customer_demographics, household_demographics, customer_address, date_dim WHERE  s_store_sk = ss_store_sk AND ss_sold_date_sk = d_date_sk AND d_year = 2001 AND ( ( ss_hdemo_sk = hd_demo_sk AND cd_demo_sk = ss_cdemo_sk AND cd_marital_status = 'U' AND cd_education_status = 'Advanced Degree' AND ss_sales_price BETWEEN 100.00 AND 150.00 AND hd_dep_count = 3 ) OR ( ss_hdemo_sk = hd_demo_sk AND cd_demo_sk = ss_cdemo_sk AND cd_marital_status = 'M' AND cd_education_status = 'Primary' AND ss_sales_price BETWEEN 50.00 AND 100.00 AND hd_dep_count = 1 ) OR ( ss_hdemo_sk = hd_demo_sk AND cd_demo_sk = ss_cdemo_sk AND cd_marital_status = 'D' AND cd_education_status = 'Secondary' AND ss_sales_price BETWEEN 150.00 AND 200.00 AND hd_dep_count = 1 ) ) AND ( ( ss_addr_sk = ca_address_sk AND ca_country = 'United States' AND ca_state IN ( 'AZ', 'NE', 'IA' ) AND ss_net_profit BETWEEN 100 AND 200 ) OR ( ss_addr_sk = ca_address_sk AND ca_country = 'United States' AND ca_state IN ( 'MS', 'CA', 'NV' ) AND ss_net_profit BETWEEN 150 AND 300 ) OR ( ss_addr_sk = ca_address_sk AND ca_country = 'United States' AND ca_state IN ( 'GA', 'TX', 'NJ' ) AND ss_net_profit BETWEEN 50 AND 250 ) ) group by ca_state, d_year, d_qoy",sudf_1_totalLargePurchases,3.969,170930.57,12293.10133,1,1,0
